,Material Class,,,,"Composition, wt.%",,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,,,,,,,,,,,Irradiation Conditions,,,,Specimen Dimensions,,,,,,,,,,,Creep properties,,,,,,,,,,,,
Reference,Alloy Group,Alloy Designation,Alloy Grade,Class,Heat,"C, wt.%","Si, wt.%","Mn, wt.%","P, wt.%","S, wt.%","Ni, wt.%","Cr, wt.%","Mo, wt.%","Al, wt.%","N, wt.%","Ti, wt.%","Fe, wt.%","Nb, wt.%","B, wt.%","Cu, wt.%","V, wt.%","Mg, wt.%","Y, wt.%","Zr, wt.%","Zn, wt.%","W, wt.%","Sn, wt.%","Co, wt.%","O, wt.%","Ta, wt.%","H, wt.%",Manufacturing,Treatment,Treatment categories,"Treatment temperature, C","Post treatment temperature, C","Post treatment time, h",Cooling,Finishing process,Microstructure,Morphology,Grain size (μm),Irradiation Dose,Irradiation Temperature,Irradiated Specimen,Irradiation Time (h),Specimen Stock Type,Specimen Shape,Specimen Size,Creep Test Type,Length (mm),Thickness (mm),Fillet radius R (mm),Width (mm),Notch,Aspect ratio (L/w),Aspect ratio (t/w),Creep Test Type,Stress (Mpa),Temperature of Creep Test (C),Creep Rupture Life (h),Minimum Creep Rate (%/h),Strain to Rupture (%),Reduction of Area (%),Time (h),Strain (%),Vacuum,Comments and Notes,Sample Identiefiers,Source
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,9,1000,,0.000256,,,,,,,36,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,8,1000,,0.000327,,,,,,,37,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,35,875,,0.000719,,,,,,,38,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,35,925,,0.0057,,,,,,,39,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,27,925,,0.0014,,,,,,,40,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,35,850,,0.000212,,,,,,,41,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,45,850,,0.000563,,,,,,,42,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,65,800,,0.00394,,,,,,,43,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,82,750,,0.00241,,,,,,,44,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,155,650,,0.00115,,,,,,,45,OSTI ID: 1887676
